Timestamp,Message Type
2023-12-18T10:25:22.38-05:00,A11 (Cancel Admit)
2023-12-18T15:32:29.957-05:00,A08 (Update Patient Information)
2023-12-18T06:42:49.252-05:00,A08 (Update Patient Information)
2023-12-18T13:14:53.839-05:00,A08 (Update Patient Information)
2023-12-19T10:52:47.036-05:00,A08 (Update Patient Information)
2023-12-15T21:50:05.976-05:00,A05 (Pre-admit)
2023-12-15T13:07:14.704-05:00,A08 (Update Patient Information)
2023-12-18T10:17:26.249-05:00,A11 (Cancel Admit)
2023-12-18T14:21:19.422-05:00,A08 (Update Patient Information)
2023-12-15T16:33:43.272-05:00,A08 (Update Patient Information)
2023-12-15T16:54:25.729-05:00,A08 (Update Patient Information)
2023-12-15T12:07:57.803-05:00,A08 (Update Patient Information)
2023-12-18T14:41:14.753-05:00,A08 (Update Patient Information)
2023-12-16T13:00:10.338-05:00,A08 (Update Patient Information)
2023-12-18T15:39:13.016-05:00,A11 (Cancel Admit)
2023-12-17T15:00:55.198-05:00,A05 (Pre-admit)
2023-12-18T09:28:51.756-05:00,A02 (Transfer a Patient)
2023-12-15T18:09:12.518-05:00,A01 (Admit)
2023-12-15T14:33:36.92-05:00,A08 (Update Patient Information)
2023-12-15T14:23:30.245-05:00,A08 (Update Patient Information)
2023-12-15T15:07:24.153-05:00,A08 (Update Patient Information)
2023-12-15T11:21:04.939-05:00,A08 (Update Patient Information)
2023-12-16T12:47:01.419-05:00,A01 (Admit)
2023-12-18T15:31:20.989-05:00,A08 (Update Patient Information)
2023-12-15T10:31:56.188-05:00,A08 (Update Patient Information)
2023-12-15T12:58:37.579-05:00,A08 (Update Patient Information)
2023-12-15T12:40:27.723-05:00,A02 (Transfer a Patient)
2023-12-15T15:18:49.088-05:00,A08 (Update Patient Information)
2023-12-19T11:05:03.709-05:00,A08 (Update Patient Information)
2023-12-19T12:39:39.752-05:00,A03 (Discharge)
2023-12-18T15:59:08.193-05:00,A08 (Update Patient Information)
2023-12-18T10:22:11.949-05:00,A11 (Cancel Admit)
2023-12-15T10:57:36.004-05:00,A08 (Update Patient Information)
2023-12-15T12:13:52.698-05:00,A08 (Update Patient Information)
2023-12-19T11:19:17.318-05:00,A08 (Update Patient Information)
2023-12-18T10:27:29.984-05:00,A11 (Cancel Admit)
2023-12-16T00:07:11.73-05:00,A01 (Admit)
2023-12-15T15:19:20.222-05:00,A08 (Update Patient Information)
2023-12-18T07:59:51.078-05:00,A08 (Update Patient Information)
2023-12-15T17:29:58.24-05:00,A02 (Transfer a Patient)
2023-12-18T08:42:13.241-05:00,A08 (Update Patient Information)
2023-12-05T11:11:58.022-05:00,A08 (Update Patient Information)
2023-11-29T17:24:13.578-05:00,A08 (Update Patient Information)
2023-12-18T10:32:49.277-05:00,A08 (Update Patient Information)
2023-12-17T21:04:07.535-05:00,A02 (Transfer a Patient)
2023-12-15T11:48:23.732-05:00,A01 (Admit)
2023-12-18T14:19:53.784-05:00,A08 (Update Patient Information)
2023-12-18T10:24:44.657-05:00,A11 (Cancel Admit)
2023-12-15T11:12:05.729-05:00,A08 (Update Patient Information)
2023-12-18T09:38:08.37-05:00,A08 (Update Patient Information)
2023-12-18T09:29:10.253-05:00,A08 (Update Patient Information)
2023-12-18T15:39:52.44-05:00,A08 (Update Patient Information)
2023-12-18T15:38:28.984-05:00,A11 (Cancel Admit)
2023-12-18T15:05:36.469-05:00,A08 (Update Patient Information)
2023-12-15T13:02:57.832-05:00,A08 (Update Patient Information)
2023-12-18T10:21:56.796-05:00,A11 (Cancel Admit)
2023-12-19T09:59:46.386-05:00,A08 (Update Patient Information)
2023-12-15T16:36:26.285-05:00,A08 (Update Patient Information)
2023-12-15T22:07:28.768-05:00,A01 (Admit)
2023-12-15T11:55:38.648-05:00,A08 (Update Patient Information)
2023-12-15T13:05:21.734-05:00,A08 (Update Patient Information)
2023-12-16T01:18:56.3-05:00,A01 (Admit)
2023-12-19T10:50:41.363-05:00,A08 (Update Patient Information)
2023-12-15T10:47:02.391-05:00,A08 (Update Patient Information)
2023-12-15T13:54:18.3-05:00,A08 (Update Patient Information)
2023-12-19T10:29:05.068-05:00,A08 (Update Patient Information)
2023-12-15T12:12:56.512-05:00,A08 (Update Patient Information)
2023-12-18T19:27:36.223-05:00,A02 (Transfer a Patient)
2023-12-16T21:18:27.348-05:00,A11 (Cancel Admit)
2023-12-15T23:46:17.77-05:00,A02 (Transfer a Patient)
2023-12-18T09:45:05.874-05:00,A08 (Update Patient Information)
2023-12-15T15:57:15.709-05:00,A08 (Update Patient Information)
2023-12-15T11:07:09.814-05:00,A08 (Update Patient Information)
2023-12-18T10:16:55.385-05:00,A11 (Cancel Admit)
2023-12-17T09:41:25.777-05:00,A02 (Transfer a Patient)
2023-12-18T12:15:26.307-05:00,A08 (Update Patient Information)
2023-12-18T17:41:35.734-05:00,A08 (Update Patient Information)
2023-12-15T17:17:08.45-05:00,A02 (Transfer a Patient)
2023-12-18T11:00:15.957-05:00,A08 (Update Patient Information)
2023-12-15T12:34:21.195-05:00,A05 (Pre-admit)
2023-12-18T21:09:48.76-05:00,A08 (Update Patient Information)
2023-12-18T15:36:28.675-05:00,A08 (Update Patient Information)
2023-12-18T15:46:31.03-05:00,A08 (Update Patient Information)
2023-12-15T11:37:33.255-05:00,A08 (Update Patient Information)
2023-12-18T13:33:50.22-05:00,A08 (Update Patient Information)
2023-12-15T17:58:50.087-05:00,A08 (Update Patient Information)
2023-12-16T13:04:21.9-05:00,A02 (Transfer a Patient)
2023-12-16T11:47:17.166-05:00,A03 (Discharge)
2023-12-15T11:03:41.361-05:00,A08 (Update Patient Information)
2023-12-15T12:21:09.2-05:00,A05 (Pre-admit)
2023-12-17T14:11:20.602-05:00,A03 (Discharge)
2023-12-17T11:37:43.773-05:00,A03 (Discharge)
2023-12-18T14:18:32.9-05:00,A08 (Update Patient Information)
2023-12-18T16:01:34.849-05:00,A08 (Update Patient Information)
2023-12-15T11:48:00.44-05:00,A02 (Transfer a Patient)
2023-12-18T20:28:02.157-05:00,A02 (Transfer a Patient)
2023-12-16T16:14:43.839-05:00,A03 (Discharge)
2023-12-16T12:57:39.621-05:00,A03 (Discharge)
2023-12-18T09:42:34.997-05:00,A02 (Transfer a Patient)
2023-10-30T13:01:59.822-04:00,A08 (Update Patient Information)
2023-10-30T11:31:46.813-04:00,A08 (Update Patient Information)
2023-10-30T10:46:04.04-04:00,A11 (Cancel Admit)
2023-10-31T14:54:16.709-04:00,A08 (Update Patient Information)
2023-10-30T22:50:09.196-04:00,A08 (Update Patient Information)
2023-10-31T19:20:00.61-04:00,A08 (Update Patient Information)
2023-10-28T23:16:16.955-04:00,A03 (Discharge)
2023-10-31T09:20:18.509-04:00,A08 (Update Patient Information)
2023-10-29T10:07:17.276-04:00,A11 (Cancel Admit)
2023-10-30T22:40:00.277-04:00,A08 (Update Patient Information)
2023-10-31T19:34:19.184-04:00,A08 (Update Patient Information)
2023-10-28T21:54:09.498-04:00,A03 (Discharge)
2023-10-28T13:21:03.521-04:00,A03 (Discharge)
2023-10-30T14:13:59.058-04:00,A08 (Update Patient Information)
2023-10-30T21:48:16.536-04:00,A08 (Update Patient Information)
2023-10-30T09:39:59.974-04:00,A11 (Cancel Admit)
2023-10-31T12:21:15.641-04:00,A08 (Update Patient Information)
2023-10-29T15:14:21.942-04:00,A08 (Update Patient Information)
2023-10-30T11:52:00.094-04:00,A08 (Update Patient Information)
2023-10-30T09:17:29.49-04:00,A08 (Update Patient Information)
2023-10-29T10:07:26.885-04:00,A11 (Cancel Admit)
2023-10-30T14:09:27.578-04:00,A08 (Update Patient Information)
2023-10-30T16:30:57.482-04:00,A08 (Update Patient Information)
2023-10-31T08:14:20.204-04:00,A08 (Update Patient Information)
2023-10-31T19:50:10.451-04:00,A08 (Update Patient Information)
2023-10-30T08:19:11.841-04:00,A08 (Update Patient Information)
2023-10-30T13:15:30.846-04:00,A11 (Cancel Admit)
2023-10-31T13:30:25.133-04:00,A08 (Update Patient Information)
2023-10-31T13:50:29.63-04:00,A08 (Update Patient Information)
2023-10-31T10:02:17.392-04:00,A08 (Update Patient Information)
2023-10-29T08:59:13.952-04:00,A11 (Cancel Admit)
2023-10-31T16:54:46.002-04:00,A08 (Update Patient Information)
2023-10-30T13:00:13.217-04:00,A08 (Update Patient Information)
2023-10-31T20:23:24.637-04:00,A08 (Update Patient Information)
2023-10-29T15:35:44.704-04:00,A08 (Update Patient Information)
2023-10-30T22:36:04.444-04:00,A08 (Update Patient Information)
2023-10-31T19:29:01.205-04:00,A08 (Update Patient Information)
2023-10-29T06:04:11.793-04:00,A11 (Cancel Admit)
2023-10-30T09:32:53.502-04:00,A08 (Update Patient Information)
2023-10-29T08:48:46.103-04:00,A11 (Cancel Admit)
2023-10-30T15:06:43.908-04:00,A08 (Update Patient Information)
2023-10-31T14:16:12.212-04:00,A08 (Update Patient Information)
2023-10-31T16:11:22.686-04:00,A08 (Update Patient Information)
2023-10-31T09:14:11.355-04:00,A08 (Update Patient Information)
2023-10-31T14:08:44.974-04:00,A08 (Update Patient Information)
2023-10-30T22:28:12.493-04:00,A08 (Update Patient Information)
2023-10-30T10:04:01.998-04:00,A08 (Update Patient Information)
2023-10-30T07:28:02.905-04:00,A05 (Pre-admit)
2023-10-30T08:43:51.995-04:00,A08 (Update Patient Information)
2023-10-31T14:12:28.255-04:00,A08 (Update Patient Information)
2023-10-29T08:50:17.83-04:00,A11 (Cancel Admit)
2023-10-30T20:08:54.557-04:00,A08 (Update Patient Information)
2023-10-31T14:33:46.706-04:00,A08 (Update Patient Information)
2023-10-30T16:40:03.535-04:00,A08 (Update Patient Information)
2023-10-31T19:34:36.935-04:00,A03 (Discharge)
2023-10-30T16:30:43.532-04:00,A08 (Update Patient Information)
2023-10-30T12:59:56.179-04:00,A08 (Update Patient Information)
2023-10-31T07:57:29.882-04:00,A08 (Update Patient Information)
2023-10-31T14:10:19.085-04:00,A08 (Update Patient Information)
2023-10-30T11:09:10.241-04:00,A08 (Update Patient Information)
2023-10-31T07:04:32.279-04:00,A08 (Update Patient Information)
2023-10-30T22:50:06.782-04:00,A08 (Update Patient Information)
2023-10-30T19:42:15.317-04:00,A08 (Update Patient Information)
2023-10-31T19:34:13.526-04:00,A08 (Update Patient Information)
2023-10-31T09:57:23.627-04:00,A08 (Update Patient Information)
2023-10-30T17:32:56.191-04:00,A08 (Update Patient Information)
2023-10-29T11:13:38.689-04:00,A11 (Cancel Admit)
2023-10-29T15:17:20.382-04:00,A03 (Discharge)
2023-10-31T19:51:38.297-04:00,A08 (Update Patient Information)
2023-10-31T11:54:22.959-04:00,A08 (Update Patient Information)
2023-10-31T10:24:15.198-04:00,A08 (Update Patient Information)
2023-10-30T20:00:19.493-04:00,A08 (Update Patient Information)
2023-10-30T20:30:17.925-04:00,A08 (Update Patient Information)
2023-10-31T13:11:04.778-04:00,A08 (Update Patient Information)
2023-10-31T18:48:49.163-04:00,A08 (Update Patient Information)
2023-10-31T19:34:43.74-04:00,A03 (Discharge)
2023-10-29T08:53:51.767-04:00,A11 (Cancel Admit)
2023-10-31T14:20:09.847-04:00,A08 (Update Patient Information)
2023-10-31T09:46:11.169-04:00,A08 (Update Patient Information)
2023-10-30T10:18:09.487-04:00,A08 (Update Patient Information)
2023-10-30T22:35:59.502-04:00,A08 (Update Patient Information)
2023-10-31T19:21:18.729-04:00,A08 (Update Patient Information)
2023-10-29T08:56:49.964-04:00,A11 (Cancel Admit)
2023-10-30T09:36:43.158-04:00,A08 (Update Patient Information)
2023-10-30T11:14:24.468-04:00,A08 (Update Patient Information)
2023-10-30T20:53:43.421-04:00,A08 (Update Patient Information)
2023-10-31T09:56:26.491-04:00,A08 (Update Patient Information)
2023-10-30T21:06:16.108-04:00,A08 (Update Patient Information)
2023-10-28T23:14:13.048-04:00,A01 (Admit)
2023-10-31T11:26:14.334-04:00,A08 (Update Patient Information)
2023-10-31T12:32:30.902-04:00,A08 (Update Patient Information)
2023-10-31T17:00:45.643-04:00,A08 (Update Patient Information)
2023-10-30T15:18:40.524-04:00,A08 (Update Patient Information)
2023-10-31T18:19:46.791-04:00,A08 (Update Patient Information)
2023-10-31T18:57:01.657-04:00,A08 (Update Patient Information)
2023-10-29T00:58:18.389-04:00,A03 (Discharge)
2023-10-30T09:19:20.767-04:00,A08 (Update Patient Information)
2023-10-31T19:34:58.575-04:00,A05 (Pre-admit)
2023-10-30T12:45:43.563-04:00,A08 (Update Patient Information)
2023-11-02T18:41:54.211-04:00,A08 (Update Patient Information)
2023-10-31T19:34:39.004-04:00,A08 (Update Patient Information)
2023-10-30T15:22:15.73-04:00,A08 (Update Patient Information)
2023-10-28T23:08:13.412-04:00,A11 (Cancel Admit)
2023-10-30T22:04:05.614-04:00,A08 (Update Patient Information)
2023-10-30T15:55:53.057-04:00,A08 (Update Patient Information)
2023-10-31T11:33:15.427-04:00,A08 (Update Patient Information)
2023-10-31T15:30:39.837-04:00,A08 (Update Patient Information)
2023-10-29T10:47:54.456-04:00,A11 (Cancel Admit)
2023-10-31T21:24:14.382-04:00,A08 (Update Patient Information)
2023-10-30T10:52:07.986-04:00,A01 (Admit)
2023-10-29T08:54:33.809-04:00,A11 (Cancel Admit)
2023-10-31T14:32:32.108-04:00,A08 (Update Patient Information)
2023-10-31T14:42:13.969-04:00,A08 (Update Patient Information)
2023-10-30T10:27:05.426-04:00,A05 (Pre-admit)
2023-10-29T15:11:30.057-04:00,A08 (Update Patient Information)
2023-10-30T08:44:08.803-04:00,A08 (Update Patient Information)
2023-10-29T15:55:32.937-04:00,A08 (Update Patient Information)
2023-10-29T15:34:20.672-04:00,A08 (Update Patient Information)
2023-10-30T11:34:13.258-04:00,A08 (Update Patient Information)
2023-10-31T14:07:43.05-04:00,A08 (Update Patient Information)
2023-10-29T15:50:43.558-04:00,A03 (Discharge)
2023-10-29T08:52:31.324-04:00,A11 (Cancel Admit)
2023-10-31T16:24:34.782-04:00,A08 (Update Patient Information)
2023-10-31T09:28:17.623-04:00,A08 (Update Patient Information)
2023-10-29T09:05:09.512-04:00,A11 (Cancel Admit)
2023-10-30T08:23:52.775-04:00,A08 (Update Patient Information)
2023-10-29T08:03:16.424-04:00,A11 (Cancel Admit)
2023-10-30T14:03:52.811-04:00,A08 (Update Patient Information)
2023-10-31T18:49:03.089-04:00,A08 (Update Patient Information)
2023-10-28T23:05:40.805-04:00,A05 (Pre-admit)
2023-10-29T08:41:48.128-04:00,A11 (Cancel Admit)
2023-10-29T18:13:41.802-04:00,A01 (Admit)
2023-10-29T08:56:19.218-04:00,A11 (Cancel Admit)
2023-10-31T13:25:16.924-04:00,A08 (Update Patient Information)
2023-10-30T14:23:59.421-04:00,A08 (Update Patient Information)
2023-10-31T09:42:32.878-04:00,A08 (Update Patient Information)
2023-10-30T15:39:09.123-04:00,A08 (Update Patient Information)
2023-10-30T16:32:16.714-04:00,A08 (Update Patient Information)
2023-10-30T09:30:02.389-04:00,A11 (Cancel Admit)
2023-10-31T12:16:42.827-04:00,A08 (Update Patient Information)
2023-10-30T13:36:53.068-04:00,A08 (Update Patient Information)
2023-10-30T15:39:25.179-04:00,A08 (Update Patient Information)
2023-10-31T10:32:55.954-04:00,A08 (Update Patient Information)
2023-10-31T14:41:13.716-04:00,A08 (Update Patient Information)
2023-10-31T13:14:21.698-04:00,A08 (Update Patient Information)
2023-10-30T18:12:07.952-04:00,A08 (Update Patient Information)
2023-10-29T00:16:12.132-04:00,A03 (Discharge)
2023-10-29T01:00:43.781-04:00,A11 (Cancel Admit)
2023-10-29T17:12:22.837-04:00,A08 (Update Patient Information)
2023-10-30T21:18:06.817-04:00,A08 (Update Patient Information)
2023-10-31T13:35:30.869-04:00,A08 (Update Patient Information)
2023-10-29T10:19:58.472-04:00,A08 (Update Patient Information)
2023-10-31T09:54:04.584-04:00,A08 (Update Patient Information)
2023-10-31T19:40:00.759-04:00,A08 (Update Patient Information)
2023-10-30T17:02:09.112-04:00,A08 (Update Patient Information)
2023-10-29T09:03:37.024-04:00,A11 (Cancel Admit)
2023-10-31T17:58:13.372-04:00,A08 (Update Patient Information)
2023-10-23T13:57:02.994-04:00,A01 (Admit)
2023-10-30T22:22:09.534-04:00,A08 (Update Patient Information)
2023-10-30T09:45:55.069-04:00,A08 (Update Patient Information)
2023-10-31T19:41:15.88-04:00,A02 (Transfer a Patient)
2023-10-30T17:27:27.456-04:00,A08 (Update Patient Information)
2023-10-31T10:56:08.711-04:00,A08 (Update Patient Information)
2023-10-31T09:43:36.023-04:00,A08 (Update Patient Information)
2023-10-28T23:23:33.014-04:00,A11 (Cancel Admit)
2023-10-30T12:04:03.605-04:00,A08 (Update Patient Information)
2023-10-30T16:34:31.697-04:00,A08 (Update Patient Information)
2023-10-31T14:42:11.658-04:00,A08 (Update Patient Information)
2023-10-29T01:49:55.172-04:00,A04 (Register a Patient)
2023-10-30T15:28:02.749-04:00,A08 (Update Patient Information)
2023-10-29T16:33:01.831-04:00,A08 (Update Patient Information)
2023-10-29T15:48:58.784-04:00,A02 (Transfer a Patient)
2023-10-31T19:34:10.624-04:00,A17 (Bed Swap)
2023-10-30T16:32:14.773-04:00,A08 (Update Patient Information)
2023-11-01T15:18:35.111-04:00,A08 (Update Patient Information)
2023-10-30T15:02:04.534-04:00,A08 (Update Patient Information)
2023-11-01T11:31:41.18-04:00,A08 (Update Patient Information)
2023-10-29T09:13:10.133-04:00,A11 (Cancel Admit)
2023-10-31T18:41:09.588-04:00,A08 (Update Patient Information)
2023-10-31T11:57:09.515-04:00,A08 (Update Patient Information)
2023-10-30T11:30:12.082-04:00,A08 (Update Patient Information)
2023-10-30T12:26:00.506-04:00,A08 (Update Patient Information)
2023-10-29T07:54:36.792-04:00,A11 (Cancel Admit)
2023-10-29T04:25:20.249-04:00,A05 (Pre-admit)
2023-10-31T18:27:09.778-04:00,A08 (Update Patient Information)
2023-10-31T09:08:05.999-04:00,A08 (Update Patient Information)
2023-10-30T20:23:56.554-04:00,A08 (Update Patient Information)
2023-10-31T18:19:50.272-04:00,A08 (Update Patient Information)
2023-10-31T16:55:49.592-04:00,A08 (Update Patient Information)
2023-10-31T07:40:11.234-04:00,A08 (Update Patient Information)
2023-10-29T09:03:22.284-04:00,A11 (Cancel Admit)
2023-10-28T21:15:20.192-04:00,A11 (Cancel Admit)
2023-10-30T10:04:49.323-04:00,A08 (Update Patient Information)
2023-10-30T14:54:09.87-04:00,A08 (Update Patient Information)
2023-10-31T11:18:18.566-04:00,A08 (Update Patient Information)
2023-10-29T17:11:37.119-04:00,A08 (Update Patient Information)
2023-10-30T16:30:32.383-04:00,A08 (Update Patient Information)
2023-10-29T07:02:46.594-04:00,A01 (Admit)
2023-10-29T09:48:58.354-04:00,A11 (Cancel Admit)
2023-10-28T23:27:07.277-04:00,A05 (Pre-admit)
2023-10-30T22:18:17.976-04:00,A08 (Update Patient Information)
2023-10-31T17:14:20.416-04:00,A08 (Update Patient Information)
2023-10-30T13:18:16.824-04:00,A08 (Update Patient Information)
2023-10-31T19:37:05.205-04:00,A08 (Update Patient Information)
2023-10-30T21:38:04.892-04:00,A08 (Update Patient Information)
2023-10-30T14:14:11.785-04:00,A08 (Update Patient Information)
2023-10-31T11:56:07.898-04:00,A08 (Update Patient Information)
2023-10-30T11:04:04.641-04:00,A08 (Update Patient Information)
2023-10-31T15:44:36.716-04:00,A08 (Update Patient Information)
2023-10-29T03:07:07.509-04:00,A11 (Cancel Admit)
2023-10-29T09:05:02.595-04:00,A11 (Cancel Admit)
2023-10-30T07:16:16.35-04:00,A08 (Update Patient Information)
2023-10-31T11:50:16.194-04:00,A08 (Update Patient Information)
2023-10-31T14:02:04.878-04:00,A08 (Update Patient Information)
2023-10-31T12:05:35.618-04:00,A08 (Update Patient Information)
2023-10-31T10:54:54.966-04:00,A08 (Update Patient Information)
2023-10-28T23:28:44.139-04:00,A03 (Discharge)
2023-10-31T12:46:34.129-04:00,A08 (Update Patient Information)
2023-10-31T05:44:55.796-04:00,A08 (Update Patient Information)
2023-10-30T11:11:40.622-04:00,A08 (Update Patient Information)
2023-10-31T08:10:20.64-04:00,A08 (Update Patient Information)
2023-10-30T14:50:11.994-04:00,A08 (Update Patient Information)
2023-11-01T11:07:43.352-04:00,A08 (Update Patient Information)
2023-11-01T14:26:00.872-04:00,A08 (Update Patient Information)
2023-10-31T04:37:19.8-04:00,A01 (Admit)
2023-10-29T00:13:43.541-04:00,A11 (Cancel Admit)
2023-10-28T23:11:02.42-04:00,A11 (Cancel Admit)
2023-10-29T05:00:53.346-04:00,A11 (Cancel Admit)
2023-10-30T17:24:18.161-04:00,A08 (Update Patient Information)
2023-10-31T08:03:33.191-04:00,A08 (Update Patient Information)
2023-11-01T11:35:05.962-04:00,A01 (Admit)
2023-10-31T18:54:53.433-04:00,A08 (Update Patient Information)
2023-10-30T15:37:06.478-04:00,A08 (Update Patient Information)
2023-10-30T10:19:18.839-04:00,A08 (Update Patient Information)
2023-10-31T16:38:53.983-04:00,A08 (Update Patient Information)
2023-11-01T01:04:15.751-04:00,A03 (Discharge)
2023-10-29T05:09:15.878-04:00,A11 (Cancel Admit)
2023-11-01T10:08:05.152-04:00,A08 (Update Patient Information)
2023-10-30T16:30:59.585-04:00,A08 (Update Patient Information)
2023-10-30T11:57:06.037-04:00,A08 (Update Patient Information)
2023-10-30T12:29:47.046-04:00,A08 (Update Patient Information)
2023-10-31T12:28:04.436-04:00,A08 (Update Patient Information)
2023-10-31T13:56:21.269-04:00,A08 (Update Patient Information)
2023-10-29T10:35:45.778-04:00,A08 (Update Patient Information)
2023-10-30T15:47:14.915-04:00,A08 (Update Patient Information)
2023-10-31T18:24:47.757-04:00,A08 (Update Patient Information)
2023-10-30T19:41:58.908-04:00,A08 (Update Patient Information)
2023-10-31T15:10:52.615-04:00,A08 (Update Patient Information)
2023-10-30T13:16:07.921-04:00,A08 (Update Patient Information)
2023-10-30T11:38:13.523-04:00,A08 (Update Patient Information)
2023-10-30T11:47:06.859-04:00,A08 (Update Patient Information)
2023-10-30T18:00:06.726-04:00,A08 (Update Patient Information)
2023-11-01T13:53:06.332-04:00,A08 (Update Patient Information)
2023-10-31T12:40:07.604-04:00,A08 (Update Patient Information)
2023-10-31T15:34:49.308-04:00,A08 (Update Patient Information)
2023-10-28T22:38:58.143-04:00,A01 (Admit)
2023-10-30T13:28:02.032-04:00,A08 (Update Patient Information)
2023-10-31T12:56:47.33-04:00,A08 (Update Patient Information)
2023-10-30T22:06:01.344-04:00,A01 (Admit)
2023-10-29T15:21:08.721-04:00,A08 (Update Patient Information)
2023-10-29T00:53:54.154-04:00,A11 (Cancel Admit)
2023-10-29T19:04:22.687-04:00,A08 (Update Patient Information)
2023-10-30T11:36:03.109-04:00,A08 (Update Patient Information)
2023-10-31T15:20:08.825-04:00,A08 (Update Patient Information)
2023-10-29T00:35:14.649-04:00,A05 (Pre-admit)
2023-10-31T19:42:46.401-04:00,A08 (Update Patient Information)
2023-10-30T14:49:55.852-04:00,A08 (Update Patient Information)
2023-10-30T15:14:13.896-04:00,A08 (Update Patient Information)
2023-10-28T23:54:27.379-04:00,A01 (Admit)
2023-10-30T16:33:51.431-04:00,A08 (Update Patient Information)
2023-10-31T14:58:06.003-04:00,A08 (Update Patient Information)
2023-10-29T10:50:50.373-04:00,A11 (Cancel Admit)
2023-10-29T01:35:22.45-04:00,A03 (Discharge)
2023-10-29T11:33:55.106-04:00,A08 (Update Patient Information)
2023-10-31T15:39:08.172-04:00,A08 (Update Patient Information)
2023-10-30T13:02:09.432-04:00,A08 (Update Patient Information)
2023-10-29T15:28:50.24-04:00,A08 (Update Patient Information)
2023-10-30T19:48:10.16-04:00,A08 (Update Patient Information)
2023-10-30T16:31:10.992-04:00,A08 (Update Patient Information)
2023-10-30T23:52:00.13-04:00,A11 (Cancel Admit)
2023-10-31T06:58:01.95-04:00,A08 (Update Patient Information)
2023-10-31T12:34:42.259-04:00,A08 (Update Patient Information)
2023-10-29T15:27:24.014-04:00,A08 (Update Patient Information)
2023-10-31T09:02:32.594-04:00,A08 (Update Patient Information)
2023-10-31T10:34:23.741-04:00,A08 (Update Patient Information)
2023-10-31T11:10:04.649-04:00,A08 (Update Patient Information)
2023-10-29T21:15:27.267-04:00,A08 (Update Patient Information)
2023-10-30T11:00:01.889-04:00,A08 (Update Patient Information)
2023-10-29T15:44:04.093-04:00,A08 (Update Patient Information)
2023-10-31T12:52:24.416-04:00,A08 (Update Patient Information)
2023-10-29T15:36:39.619-04:00,A08 (Update Patient Information)
